restaurant name,restaurant type,rate (out of 5),num of ratings,avg cost (two people),online_order,table booking,cuisines type,area,local address,is_open
The Roastery,Cafe,4.3,167,500.0,No,No,Cafe,Kalyan Nagar,Kalyan Nagar,Yes
The Rogue Elephant,Casual Dining,4.3,1037,1000.0,No,Yes,"Desserts, Asian, Beverages",Basavanagudi,Basavanagudi,Yes
The Rolling Pin,"Bakery, Dessert Parlor",4.0,74,400.0,No,No,"Bakery, Desserts",Indiranagar,Indiranagar,Yes
The RoofTop,Casual Dining,3.3,4,1000.0,No,No,"North Indian, Asian, Mediterranean",Brigade Road,St. Marks Road,Yes
The Royal Corner - Pai Viceroy,Casual Dining,4.2,815,900.0,Yes,Yes,"North Indian, Chinese",Banashankari,Jayanagar,Yes
The Salad Studio,Cafe,4.0,107,400.0,Yes,No,"Cafe, Healthy Food, Salad",Bellandur,Bellandur,Yes
The Salt Grill - Hilton Bangalore Embassy Golflinks,Fine Dining,4.1,94,3000.0,No,Yes,"European, Mediterranean, Salad",Koramangala 4th Block,Domlur,Yes
The Sanctuary,Cafe,3.9,61,450.0,No,No,"Cafe, Fast Food",Frazer Town,Banaswadi,Yes
The Sandesh Factory,Sweet Shop,3.2,4,150.0,No,No,"Mithai, Desserts",Bannerghatta Road,Bannerghatta Road,Yes
The Sandwich Club,Quick Bites,3.9,88,250.0,Yes,No,Fast Food,"Byresandra,Tavarekere,Madiwala",HSR,Yes
The Second Wife,Casual Dining,3.7,68,800.0,Yes,No,"South Indian, Andhra, Biryani",Kalyan Nagar,Hennur,Yes
The Shake Factory Originals,"Beverage Shop, Quick Bites",3.3,8,200.0,No,No,"Beverages, Fast Food",Bannerghatta Road,Bannerghatta Road,Yes
The Shawarma Inc,Quick Bites,3.3,94,200.0,Yes,No,"Arabian, Fast Food","Byresandra,Tavarekere,Madiwala",Koramangala 5th Block,Yes
The Shawarma Shop,Quick Bites,2.8,40,250.0,No,No,Arabian,HSR,Koramangala 4th Block,Yes
The Sip Shop,Quick Bites,2.8,40,200.0,Yes,No,"Pizza, Beverages, Ice Cream",Banashankari,Basavanagudi,Yes
The Sky Lounge - Tamarind Hospitality,Bar,3.7,40,1200.0,No,No,"North Indian, South Indian, Chinese, Continental",Kalyan Nagar,Banaswadi,Yes
The Smoke Co.,Casual Dining,4.3,516,2500.0,Yes,Yes,"American, European","Byresandra,Tavarekere,Madiwala",Koramangala 6th Block,Yes
The Sofraah Kebabs & Kurries - Eden Park Restaurants,Casual Dining,3.8,176,1350.0,No,Yes,"North Indian, Afghan",Jayanagar,Jayanagar,Yes
The Souk,Cafe,3.7,66,800.0,Yes,No,"Cafe, Mediterranean, Italian, Pizza, Continental",Brigade Road,Ulsoor,Yes
The South,Quick Bites,3.7,21,200.0,No,No,South Indian,Whitefield,Whitefield,Yes
The Spice Bazaar,"Casual Dining, Bar",4.2,332,1000.0,No,Yes,"North Indian, Mughlai",Brigade Road,Lavelle Road,Yes
The Spice Box,Casual Dining,3.6,30,800.0,No,No,"North Indian, South Indian",Indiranagar,Old Airport Road,Yes
The Spice Factory,Casual Dining,3.1,29,550.0,Yes,No,"North Indian, Mughlai, Chinese",HSR,HSR,Yes
The Spice Pavillion,Casual Dining,3.7,125,600.0,Yes,No,North Indian,Brookefield,Marathahalli,Yes
The Spice Saga,Casual Dining,3.7,124,750.0,Yes,No,"Biryani, North Indian, Chinese, Seafood",Banashankari,Kumaraswamy Layout,Yes
The Spicy Kitchen,Quick Bites,3.1,17,300.0,Yes,No,"Arabian, Rolls",Old Airport Road,Thippasandra,Yes
The Square - Novotel,Fine Dining,4.3,760,2500.0,No,Yes,"Continental, North Indian, Japanese, Italian",Bellandur,Marathahalli,Yes
The Square Table,Casual Dining,4.2,560,1000.0,Yes,Yes,"North Indian, Maharashtrian, South Indian",Brookefield,Whitefield,Yes
The Story Wall Bistro,Casual Dining,3.7,18,600.0,No,No,"Italian, Continental",Kalyan Nagar,Banaswadi,Yes
The Street Kitchen,Quick Bites,3.7,16,300.0,Yes,No,"North Indian, Fast Food, Chinese, Beverages",Malleshwaram,New BEL Road,Yes
The Studio Bar,Lounge,4.0,775,1400.0,No,No,"Italian, American, North Indian",Malleshwaram,Malleshwaram,Yes
The Studio Cafe,Cafe,3.8,20,400.0,No,No,"Cafe, Beverages",Basavanagudi,Jayanagar,Yes
The Sugar Factory - Le Meridien,Club,3.9,628,2000.0,No,No,Finger Food,Lavelle Road,Sankey Road,Yes
The Sugar Fairy,Bakery,4.3,241,100.0,No,No,"Bakery, Desserts",Frazer Town,Frazer Town,Yes
The Sugar Therapy,"Dessert Parlor, Bakery",3.8,25,500.0,No,No,"Desserts, Bakery",Brigade Road,Richmond Road,Yes
The Sweet Spot,Dessert Parlor,4.0,157,300.0,No,No,Desserts,Koramangala 4th Block,Koramangala 6th Block,Yes
The Table,Bakery,3.8,42,400.0,Yes,No,"Bakery, Desserts",Old Airport Road,Indiranagar,Yes
The Taj Hotel,Quick Bites,3.5,12,350.0,No,No,"Biryani, Mughlai",Basavanagudi,City Market,Yes
The Tandoori Chai,Quick Bites,3.9,60,400.0,Yes,No,"North Indian, Fast Food, Street Food, Beverages","Byresandra,Tavarekere,Madiwala",HSR,Yes
The Tao Terraces,Casual Dining,3.9,1937,2100.0,Yes,Yes,"Thai, Japanese, Korean, Burmese, Chinese",Lavelle Road,MG Road,Yes
The Taste Adda,Quick Bites,2.8,40,200.0,No,No,"North Indian, Fast Food, Beverages",Brigade Road,Ulsoor,Yes
The Taste Players,Casual Dining,3.7,51,500.0,Yes,No,"North Indian, Chinese, Mughlai, Biryani",Whitefield,Whitefield,Yes
The Teal Door Cafe,Cafe,4.2,1852,800.0,Yes,No,"Cafe, Continental",Indiranagar,Indiranagar,Yes
The Terminus - The Oterra,Lounge,4.0,119,2500.0,No,Yes,"Finger Food, Continental",Electronic City,Electronic City,Yes
The Terrace at Gilly's Redefined,"Microbrewery, Casual Dining",4.5,905,1400.0,No,Yes,"Continental, Finger Food, Asian, North Indian",Koramangala 6th Block,Koramangala 4th Block,Yes
The Terrace at Windmills Craftworks,Casual Dining,4.1,450,1800.0,No,No,North Indian,Brookefield,Whitefield,Yes
The Thali Company,"Takeaway, Delivery",3.3,7,600.0,No,No,"North Indian, Lucknowi",HSR,HSR,Yes
The ThickShake Factory,Beverage Shop,2.8,19,350.0,Yes,No,"Beverages, Juices",Brigade Road,Cunningham Road,Yes
